program,university
Honours Bachelor of Applied Science in Justice Studies and Diploma in Police Foundations OR Community and Justice Services,University of Guelph-Humber
Honours Bachelor of Applied Science in Kinesiology and Diploma in Fitness and Health Promotion,University of Guelph-Humber
Honours Bachelor of Applied Science in Psychology and Diploma in General Arts and Science,University of Guelph-Humber
Honours Bachelor of Business Administration and Diploma in Business Administration,University of Guelph-Humber
Anthropology (Thunder Bay and Orillia),Lakehead University
"Applied Life Sciences (Thunder Bay, Orillia and Lakehead/Georgian)",Lakehead University
Arts One (Thunder Bay),Lakehead University
Bioinformatics (Thunder Bay),Lakehead University
"Biology (includes Animal Sciences, Environmental Science, and Neuroscience) (Thunder Bay)",Lakehead University
Business (co-op available) (Thunder Bay and Orillia),Lakehead University
Chemistry (includes Medical Sciences) (Thunder Bay),Lakehead University
Computer Science (co-op available) (Thunder Bay and Lakehead/Georgian),Lakehead University
Criminology (Orillia),Lakehead University
Earth Science (includes Environmental Science) (Thunder Bay),Lakehead University
Economics (Thunder Bay),Lakehead University
Education (Intermediate/Senior – Teach Grades 7 to 12) (Thunder Bay),Lakehead University
Education (Primary/Junior – Teach Kindergarten to Grades 6) (Thunder Bay and Orillia),Lakehead University
Engineering (co-op available) (Thunder Bay and Lakehead/Georgian),Lakehead University
English (Thunder Bay and Orillia),Lakehead University
Environmental Management (co-op available) (Thunder Bay),Lakehead University
Environmental Sustainability (co-op available) (Orillia),Lakehead University
Forestry (co-op available) (Thunder Bay),Lakehead University
French (Thunder Bay),Lakehead University
"General (Arts or Science) (Thunder Bay, Orillia & Online)",Lakehead University
Geoarchaeology (Thunder Bay),Lakehead University
Geography and the Environment (includes Environmental Science and Studies) (Thunder Bay and Orillia),Lakehead University
Geology (Thunder Bay),Lakehead University
Gerontology (Thunder Bay),Lakehead University
History (Thunder Bay and Orillia),Lakehead University
Indigenous Learning (Thunder Bay),Lakehead University
Interdisciplinary Studies (Orillia Campus only),Lakehead University
Kinesiology (co-op available) (Thunder Bay),Lakehead University
Mathematics (Thunder Bay),Lakehead University
Media Studies (Orillia Campus only),Lakehead University
Music (Thunder Bay),Lakehead University
Native Access Program (Thunder Bay),Lakehead University
Native Nursing Entry Program (Thunder Bay),Lakehead University
Natural Science (3-Year) (Thunder Bay),Lakehead University
Nursing (Thunder Bay),Lakehead University
Outdoor Recreation Parks & Tourism (Thunder Bay),Lakehead University
Philosophy (Thunder Bay),Lakehead University
Physics (includes Medical Science) (co-op available) (Thunder Bay),Lakehead University
Political Science/Pre-Law (Thunder Bay and Orillia),Lakehead University
Psychology (Thunder Bay),Lakehead University
Science One (Thunder Bay),Lakehead University
Social Work (Thunder Bay and Orillia),Lakehead University
Sociology (Thunder Bay and Orillia),Lakehead University
Visual Arts (Thunder Bay),Lakehead University
Water Resource Science (Thunder Bay),Lakehead University
Women's Studies (Thunder Bay),Lakehead University
Actuarial Sciences (4 years),Laurentian University
Ancient Studies (4 years),Laurentian University
Anthropology (4 years),Laurentian University
Archaeology (4 years),Laurentian University
Architectural Studies (4 years),Laurentian University
Arts (3 years),Laurentian University
Behavioural Neuroscience (4 years),Laurentian University
Biochemistry (4 years),Laurentian University
Biology - Biomedical Biology (4 years),Laurentian University
Biology - Ecology (4 years),Laurentian University
Biology - Restoration Biology (4 years),Laurentian University
Biology - Zoology (4 years),Laurentian University
Biomedical Physics (4 years),Laurentian University
Business Administration – Accounting,Laurentian University
Business Administration – Entrepreneurship,Laurentian University
Business Administration – Finance,Laurentian University
Business Administration – Human Resources Management,Laurentian University
Business Administration – International Management,Laurentian University
Business Administration – Marketing,Laurentian University
Business Administration – Operations Management,Laurentian University
Chemistry (4 years),Laurentian University
Classical Studies (4 years),Laurentian University
Commerce and Administration (4 years),Laurentian University
Communication Studies (4 years),Laurentian University
Computer Science (4 years),Laurentian University
Concurrent Education - Arts (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education - Arts (Primary/Junior) - 5-year double degree,Laurentian University
Concurrent Education - Music (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education - Music (Primary/Junior) - 5-year double degree,Laurentian University
Concurrent Education - Science (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education - Science (Primary Junior) - 5-year double degree,Laurentian University
Concurrent Education with Health Promotion (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education with Health Promotion (Primary/Junior) - 5-year double degree,Laurentian University
Concurrent Education with Outdoor Adventure Leadership (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education with Outdoor Adventure Leadership (Primary/Junior) - 5-year double degree,Laurentian University
Concurrent Education with Sport and Physical Education (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education with Sport and Physical Education (Primary/Junior) - 5-year double degree,Laurentian University
Concurrent Education with Sport Psychology (Junior/Intermediate) - 5-year double degree,Laurentian University
Concurrent Education with Sport Psychology (Primary/Junior) - 5-year double degree,Laurentian University
Criminology (4 years),Laurentian University
Earth Sciences (4 years),Laurentian University
Economics (4 years),Laurentian University
Engineering – General (year 1 & 2 only),Laurentian University
Engineering - Chemical (4 years),Laurentian University
Engineering - Mechanical (4 years),Laurentian University
Engineering - Mining (4 years),Laurentian University
English Literature (4 years),Laurentian University
English Rhetoric and Media Studies (4 years),Laurentian University
Environmental Science (4 years),Laurentian University
Environmental Studies (4 years),Laurentian University
Fine Arts - Motion Picture Arts (4 years),Laurentian University
Fine Arts - Music (4 years),Laurentian University
Fine Arts - Theatre Performance (4 years),Laurentian University
Forensic Science (4 years),Laurentian University
French as a Second Language (4 years),Laurentian University
Génie chimique,Laurentian University
Génie minier,Laurentian University
Geography (4 years),Laurentian University
Gerontology (4 years),Laurentian University
History (4 years),Laurentian University
Human Kinetics – Health Promotion (4 years),Laurentian University
Human Kinetics – Kinesiology,Laurentian University
Indigenous Social Work (4 years),Laurentian University
Indigenous Studies (4 years),Laurentian University
Labour Studies (4 years),Laurentian University
Law and Justice (4 years),Laurentian University
Liberal Science (4 years),Laurentian University
Mathematics (4 years),Laurentian University
Mathematics (4 years),Laurentian University
Mechanical Engineering,Laurentian University
Midwifery,Laurentian University
Modern Languages - Spanish (4 years),Laurentian University
Music (4 years),Laurentian University
Nursing (4 years),Laurentian University
Outdoor Adventure Leadership,Laurentian University
Philosophy (4 years),Laurentian University
Physics (4 years),Laurentian University
Political Science (4 years),Laurentian University
Psychology BA (4 years),Laurentian University
Psychology BSc (4 years),Laurentian University
Radiation Therapy (4 years),Laurentian University
Religious Studies (4 years),Laurentian University
Science (3 years),Laurentian University
Social Work,Laurentian University
Sociology (4 years),Laurentian University
Sport and Physical Education,Laurentian University
Sport Psychology (4 years),Laurentian University
Sports Administration (4 years),Laurentian University
Theatre Arts (4 years),Laurentian University
Arts and Science I,McMaster University
Automation Engineering Technology I (Bachelor of Technology),McMaster University
Automotive & Vehicle Engineering Technology I (Bachelor of Technology),McMaster University
Biotechnology I (Bachelor of Technology),McMaster University
Business I,McMaster University
Chemical & Physical Sciences I,McMaster University
Computer Science Co-op I,McMaster University
Computer Science I,McMaster University
Economics I,McMaster University
Engineering Co-op I,McMaster University
Engineering I,McMaster University
Environmental and Earth Sciences I,McMaster University
Health Sciences I,McMaster University
Health & Society I,McMaster University
Honours Integrated Science I,McMaster University
Humanities I,McMaster University
Integrated Biomedical Engineering & Health Sciences,McMaster University
Integrated Biomedical Engineering & Health Sciences,McMaster University
Integrated Business & Humanities,McMaster University
Kinesiology I,McMaster University
Life Sciences I,McMaster University
Mathematics and Statistics I,McMaster University
Medical Radiation Sciences I,McMaster University
Midwifery I,McMaster University
Music I,McMaster University
Nursing I (at McMaster),McMaster University
Social Sciences I,McMaster University
Studio Art I,McMaster University
Bachelor of Arts,Nipissing University
Bachelor of Arts/Bachelor of Commerce,Nipissing University
Bachelor of Arts in Criminal Justice,Nipissing University
Bachelor of Arts in Social Welfare and Social Development/Social Service Worker diploma (joint program with Canadore College),Nipissing University
Bachelor of Business Administration,Nipissing University
Bachelor of Fine Arts,Nipissing University
Bachelor of Physical and Health Education,Nipissing University
Bachelor of Science,Nipissing University
Bachelor of Science/Bachelor of Commerce,Nipissing University
Bachelor of Science in Nursing (Collaborative Program with Canadore College),Nipissing University
Bachelor of Social Work,Nipissing University
Concurrent Bachelor of Arts/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Arts/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Arts/Bachelor of Education Primary/Junior,Nipissing University
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Arts Criminal Justice/Bachelor of Education Primary/Junior,Nipissing University
Concurrent Bachelor of Business Administration/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Business Administration/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Business Administration/Bachelor of Education Primary/Junior,Nipissing University
Concurrent Bachelor of Fine Arts/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Fine Arts/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Fine Arts/Bachelor of Education Primary/Junior,Nipissing University
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Primary/Junior,Nipissing University
Concurrent Bachelor of Science/Bachelor of Education Intermediate/Senior,Nipissing University
Concurrent Bachelor of Science/Bachelor of Education Junior/Intermediate,Nipissing University
Concurrent Bachelor of Science/Bachelor of Education Primary/Junior,Nipissing University
Advertising,OCAD University
Creative Writing,OCAD University
Criticism & Curatorial Practice,OCAD University
Cross-Disciplinary Art,OCAD University
Digital Futures,OCAD University
Drawing & Painting,OCAD University
Environmental Design,OCAD University
Graphic Design,OCAD University
Illustration,OCAD University
Indigenous Visual Culture,OCAD University
Industrial Design,OCAD University
Integrated Media,OCAD University
Material Art & Design,OCAD University
Photography,OCAD University
Printmaking,OCAD University
Sculpture/Installation,OCAD University
Visual and Critical Studies (BA Honours),OCAD University
Applied and Industrial Mathematics,University of Ontario Institute of Technology
Automotive Engineering,University of Ontario Institute of Technology
Biological Science,University of Ontario Institute of Technology
Chemical Biology,University of Ontario Institute of Technology
Chemistry,University of Ontario Institute of Technology
Commerce,University of Ontario Institute of Technology
Communication and Digital Media Studies,University of Ontario Institute of Technology
Computer Science,University of Ontario Institute of Technology
Criminology and Justice,University of Ontario Institute of Technology
Data Science (BSc/BScM),University of Ontario Institute of Technology
Electrical Engineering,University of Ontario Institute of Technology
Entrepreneurship,University of Ontario Institute of Technology
Environmental Biology (BSc/BScM),University of Ontario Institute of Technology
Forensic Science,University of Ontario Institute of Technology
Game Development and Entrepreneurship,University of Ontario Institute of Technology
Health Physics and Radiation Science,University of Ontario Institute of Technology
Health Sciences,University of Ontario Institute of Technology
Kinesiology,University of Ontario Institute of Technology
Legal Studies,University of Ontario Institute of Technology
Liberal Studies,University of Ontario Institute of Technology
Life Sciences,University of Ontario Institute of Technology
Manufacturing Engineering,University of Ontario Institute of Technology
Marketing,University of Ontario Institute of Technology
Mechanical Engineering,University of Ontario Institute of Technology
Mechatronics Engineering,University of Ontario Institute of Technology
Medical Laboratory Science,University of Ontario Institute of Technology
Networking and Information Technology Security,University of Ontario Institute of Technology
Nuclear Engineering,University of Ontario Institute of Technology
Nursing,University of Ontario Institute of Technology
Pharmaceutical Chemistry,University of Ontario Institute of Technology
Physics,University of Ontario Institute of Technology
Political Science,University of Ontario Institute of Technology
Psychology – Forensic Psychology,University of Ontario Institute of Technology
Software Engineering,University of Ontario Institute of Technology
Sustainable Energy Systems,University of Ontario Institute of Technology
Technology Management,University of Ontario Institute of Technology
Aboriginal Studies (4-year major) (French immersion available),University of Ottawa
Accounting (4 years) (French immersion is available),University of Ottawa
Acting (3 years),University of Ottawa
Anthropology (4 years) (French immersion is available),University of Ottawa
Anthropology and Sociology (Joint Honours 4 years) (French immersion is available),University of Ottawa
Art History (4-year major) (French immersion available),University of Ottawa
Arts (3 years),University of Ottawa
Arts (4 years),University of Ottawa
Biochemistry (4 years) (French immersion is available),University of Ottawa
Biology (4 years) (French immersion is available),University of Ottawa
Biomedical Mechanical Engineering (4 years),University of Ottawa
Biomedical Mechanical Engineering and Computing Technology (5-year double degree),University of Ottawa
Biomedical Science (4 years),University of Ottawa
Biopharmaceutical Sciences (4 years) (French immersion is available),University of Ottawa
Biotechnology (Biochemistry and Chemical Engineering) (5-year double degree),University of Ottawa
Chemical Engineering (4 years),University of Ottawa
Chemical Engineering and Computing Technology (5-year double degree),University of Ottawa
Chemistry (4 years) (French immersion is available),University of Ottawa
Civil Engineering (4 years),University of Ottawa
Civil Engineering and Computing Technology (5-year double degree),University of Ottawa
Commerce – Finance (4 years) (French immersion is available),University of Ottawa
Commerce – Healthcare Analytics (4 years) (French immersion is available),University of Ottawa
Commerce – Human Resource Management (4 years) (French immersion is available),University of Ottawa
Commerce – International Management (4 years) (French immersion is available),University of Ottawa
Commerce – Management (4 years) (French immersion is available),University of Ottawa
Commerce – Management Information Systems & Analytics,University of Ottawa
Commerce – Marketing (4 years) (French immersion is available),University of Ottawa
Commerce et Juris Doctor (Double grade – 5 ans) (French immersion),University of Ottawa
Communication (4 years) (French immersion is available),University of Ottawa
Communication and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Communication and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Communication and Sociology (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Communication and Sociology (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Computer Engineering (4 years) (French immersion available),University of Ottawa
Computer Science (4-year major) (French immersion available),University of Ottawa
Computer Science (4 years) (French immersion available),University of Ottawa
Computer Science and Mathematics (Joint Honours – 4 years),University of Ottawa
Conflict Studies and Human Rights (4 years) (French immersion is available),University of Ottawa
Criminology (4 years) (French immersion is available),University of Ottawa
Criminology and Women’s Studies (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Digital Journalism (Joint program with Algonquin College) (4.5 years),University of Ottawa
Economics (4 years) (French immersion is available),University of Ottawa
Economics and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Economics and Public Policy (4 years) (French immersion is available),University of Ottawa
Electrical Engineering (4 years),University of Ottawa
Electrical Engineering and Computing Technology (5-year double degree),University of Ottawa
English (4 years),University of Ottawa
Environmental Economics and Public Policy (4 years) (French immersion is available),University of Ottawa
Environmental Science (4 years) (French immersion is available),University of Ottawa
Environmental Studies (4 years) (Bilingual program),University of Ottawa
Environmental Studies (4 years) (English Program) (French immersion is available),University of Ottawa
Ethics ans Political Philosophy (4 years),University of Ottawa
Études de l'environnement (4 ans) (Programme bilingue),University of Ottawa
Financial Mathematics and Economics (4 years) (French immersion is available),University of Ottawa
French as a Second Language (4-year major),University of Ottawa
Geography (4 years) (French immersion is available),University of Ottawa
Geology (4 years) (French immersion is available),University of Ottawa
Geology-Physics (4 years) (French immersion is available),University of Ottawa
Greek and Roman Studies (4 years) (French immersion is available),University of Ottawa
Health Sciences (4 years) (French immersion is available),University of Ottawa
History (4 years) (French immersion is available),University of Ottawa
History and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
History and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Human Kinetics – Bachelor of Science (BScHK) (4 years) with emphasis on biophysical sciences (French immersion available),University of Ottawa
Human Kinetics (BHK) (4 years) with emphasis on social sciences (French immersion available),University of Ottawa
International Development and Globalization (4 years) (French immersion is available),University of Ottawa
International Economics and Development (4 years) (French immersion is available),University of Ottawa
International Studies and Modern Languages (4 years) (French immersion is available),University of Ottawa
Linguistics (4 years),University of Ottawa
Mathematics (4 years) (French immersion is available),University of Ottawa
Mathematics and Economics (Joint – 4 years) (French immersion is available),University of Ottawa
Mathematics and Economics (Joint Honours - 4 years),University of Ottawa
Mechanical Engineering (4 years),University of Ottawa
Mechanical Engineering and Computing Technology (5-year double degree),University of Ottawa
Medieval Renaissance Studies (4-year major) (French immersion available),University of Ottawa
Music (4 years) (French immersion is available),University of Ottawa
Music and Biochemistry (5-year double degree),University of Ottawa
Music and Biology (5-year double degree),University of Ottawa
Music and Chemistry (5-year double degree),University of Ottawa
Music and Computer Science (5-year double degree),University of Ottawa
Music and Geology (5-year double degree),University of Ottawa
Music and Mathematics (5-year double degree),University of Ottawa
Music and Physics (5-year double degree),University of Ottawa
Music and Statistics (5-year double degree),University of Ottawa
Music (BMus) (4 years),University of Ottawa
Nursing (4 years) – Algonquin College (Pembroke Campus),University of Ottawa
Nursing (4 years) – Algonquin Woodroffe Campus,University of Ottawa
Nursing (4 years) – Ottawa Campus (French immersion is available),University of Ottawa
Ophthalmic Medical Technology (4 years),University of Ottawa
Philosophy (4 years) (French immersion is available),University of Ottawa
Philosophy and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Philosophy and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Physics (4 years) (French immersion is available),University of Ottawa
Physics and Electrical Engineering (Double degree – 5 years) (French immersion is available),University of Ottawa
Physics and Mathematics (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Political Science (4 years) (French immersion is available),University of Ottawa
Psychology and Linguistics (Joint Honours – 4 years),University of Ottawa
Psychology (BA) (4 years) (French immersion is available),University of Ottawa
Psychology (BSc) (4 years) (French immersion is available),University of Ottawa
Public Administration (4 years) (French immersion is available),University of Ottawa
Public Administration and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Public Relations – Joint program with Algonquin College (4.5 years),University of Ottawa
Religious Studies (4 years) (French immersion is available),University of Ottawa
Second Language Teaching (ESL) (4 years) (French immersion is available),University of Ottawa
Second Language Teaching (FLS) (4 years) (French immersion is available),University of Ottawa
Service social (4 years) (French immersion is available),University of Ottawa
Social Sciences (3 years),University of Ottawa
Sociology (4 years) (French immersion is available),University of Ottawa
Software Engineering (4 years) (French immersion available),University of Ottawa
Statistics (4 years) (French immersion is available),University of Ottawa
Theatre (4 years) (French immersion is available),University of Ottawa
Translation (French-English) (4 years),University of Ottawa
Visual Arts (4-year major) (French immersion is available),University of Ottawa
Visual Arts (BFA) (4 years),University of Ottawa
Women’s Studies (4-year major) (French immersion is available),University of Ottawa
Women’s Studies and Political Science (Joint Honours – 4 years) (French immersion is available),University of Ottawa
Women’s Studies and Sociology (Joint Honours – 4 years) (French immersion is available),University of Ottawa
"Conflict Resolution (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University
Conflict Studies (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University
Honours Bachelor of Arts with Major (4 years),University of Ottawa – Saint Paul University
Human Relations and Spirituality (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University
"Private and Public Ethics (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University
Public Ethics (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University
"Social communication (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University
Social Communication (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University
"Social Innovation (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University
Social Innovation (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University
"Theology (Certificate, Part-time only) (1 year)",University of Ottawa – Saint Paul University
Arts,Queen's University
"Arts – Bader International Study Centre, Herstmonceux Castle (first-year program in England)",Queen's University
Arts – English Language Bridging Pathway (QBridge),Queen's University
Commerce,Queen's University
Computing,Queen's University
